,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,id,index,Shares Outstanding,Market Capital
0,2024-10-07 00:00:00-04:00,224.5,225.69000244140625,221.3300018310547,221.69000244140625,39505400,0.0,0.0,1,,15204100096.0,3370596987401.625
1,2024-10-08 00:00:00-04:00,224.3000030517578,225.97999572753906,223.25,225.77000427246094,31855700,0.0,0.0,1,,15204100096.0,3432629743632.8438
2,2024-10-09 00:00:00-04:00,225.22999572753906,229.75,224.8300018310547,229.5399932861328,33591100,0.0,0.0,1,,15204100096.0,3489949033957.5312
3,2024-10-10 00:00:00-04:00,227.77999877929688,229.5,227.1699981689453,229.0399932861328,28183500,0.0,0.0,1,,15204100096.0,3482346983909.5312
4,2024-10-11 00:00:00-04:00,229.3000030517578,229.41000366210938,227.33999633789062,227.5500030517578,31759200,0.0,0.0,1,,15204100096.0,3459693023244.0312
5,2024-10-14 00:00:00-04:00,228.6999969482422,231.72999572753906,228.60000610351562,231.3000030517578,39882100,0.0,0.0,1,,15204100096.0,3516708398604.0312
6,2024-10-15 00:00:00-04:00,233.61000061035156,237.49000549316406,232.3699951171875,233.85000610351562,64751400,0.0,0.0,1,,15204100096.0,3555478900248.0625
7,2024-10-16 00:00:00-04:00,231.60000610351562,232.1199951171875,229.83999633789062,231.77999877929688,34082200,0.0,0.0,1,,15204100096.0,3524006301691.1875
8,2024-10-17 00:00:00-04:00,233.42999267578125,233.85000610351562,230.52000427246094,232.14999389648438,32993800,0.0,0.0,1,,15204100096.0,3529631744487.9375
9,2024-10-18 00:00:00-04:00,236.17999267578125,236.17999267578125,234.00999450683594,235.0,46431500,0.0,0.0,1,2024-10-18 00:00:00-04:00,15204100096.0,3572963522560.0
10,2024-10-18 00:00:00-04:00,236.17999267578125,236.17999267578125,234.00999450683594,235.0,46431500,0.0,0.0,1,2024-10-18 00:00:00-04:00,15228399616.0,3578673909760.0
11,2024-10-21 00:00:00-04:00,234.4499969482422,236.85000610351562,234.4499969482422,236.47999572753906,36254500,0.0,0.0,1,,15216700416.0,3598445249362.922
12,2024-10-22 00:00:00-04:00,233.88999938964844,236.22000122070312,232.60000610351562,235.86000061035156,38846600,0.0,0.0,1,,15216700416.0,3589010969405.297
13,2024-10-23 00:00:00-04:00,234.0800018310547,235.13999938964844,227.75999450683594,230.75999450683594,52287000,0.0,0.0,1,,15216700416.0,3511405704408.328
14,2024-10-24 00:00:00-04:00,229.97999572753906,230.82000732421875,228.41000366210938,230.57000732421875,31109500,0.0,0.0,1,2024-10-24 00:00:00-04:00,15216700416.0,3508514726367.5625
15,2024-10-25 00:00:00-04:00,229.74000549316406,233.22000122070312,229.57000732421875,231.41000366210938,38802300,0.0,0.0,1,,15447300096.0,3574659771785.0625
16,2024-10-28 00:00:00-04:00,233.32000732421875,234.72999572753906,232.5500030517578,233.39999389648438,36087100,0.0,0.0,1,,15447300096.0,3605399748123.5625
17,2024-10-29 00:00:00-04:00,233.10000610351562,234.3300018310547,232.32000732421875,233.6699981689453,35417200,0.0,0.0,1,,15447300096.0,3609570585147.4688
18,2024-10-30 00:00:00-04:00,232.61000061035156,233.47000122070312,229.5500030517578,230.10000610351562,47070900,0.0,0.0,1,,15447300096.0,3554423846372.4375
19,2024-10-31 00:00:00-04:00,229.33999633789062,229.8300018310547,225.3699951171875,225.91000366210938,64370100,0.0,0.0,1,2024-10-31 00:00:00-04:00,15447300096.0,3489699621257.0625
20,2024-10-31 00:00:00-04:00,229.33999633789062,229.8300018310547,225.3699951171875,225.91000366210938,64370100,0.0,0.0,1,2024-10-31 00:00:00-04:00,15204100096.0,3434758308366.4375
21,2024-11-01 00:00:00-04:00,220.97000122070312,225.35000610351562,220.27000427246094,222.91000366210938,65276700,0.0,0.0,1,,15115799552.0,3369462933492.0312
22,2024-11-04 00:00:00-05:00,220.99000549316406,222.7899932861328,219.7100067138672,222.00999450683594,44944500,0.0,0.0,1,,15115799552.0,3355858575505.953
23,2024-11-05 00:00:00-05:00,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422,28111300,0.0,0.0,1,2024-11-05 00:00:00-05:00,15115799552.0,3377625363764.6406
24,2024-11-05 00:00:00-05:00,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422,28111300,0.0,0.0,1,2024-11-05 00:00:00-05:00,15169599488.0,3389646959299.6562
25,2024-11-06 00:00:00-05:00,222.61000061035156,226.07000732421875,221.19000244140625,222.72000122070312,54495200,0.0,0.0,1,,,
0,2024-10-07 00:00:00-04:00,21.63225363739936,21.63225363739936,21.39529626825729,21.503902435302734,23116300,0.0,0.0,2,,7170240000.0,154188141397.70508
1,2024-10-08 00:00:00-04:00,21.64212651944968,21.70136538936322,21.4446611088449,21.582887649536133,22716400,0.0,0.0,2,,7170240000.0,154754484340.20996
2,2024-10-09 00:00:00-04:00,21.592761556104247,21.721112757439876,21.513775766858526,21.652000427246094,25365400,0.0,0.0,2,,7170240000.0,155250039543.45703
3,2024-10-10 00:00:00-04:00,21.600000381469727,21.68000030517578,21.209999084472656,21.219999313354492,28738500,0.278,0.0,2,2024-10-10 00:00:00-04:00,7170240000.0,152152487876.5869
4,2024-10-11 00:00:00-04:00,21.299999237060547,21.450000762939453,21.219999313354492,21.3700008392334,25249800,0.0,0.0,2,,7207340032.0,154020862532.48047
5,2024-10-14 00:00:00-04:00,21.360000610351562,21.40999984741211,21.260000228881836,21.260000228881836,33512200,0.0,0.0,2,,7207340032.0,153228050729.94922
6,2024-10-15 00:00:00-04:00,21.389999389648438,21.610000610351562,21.229999542236328,21.510000228881836,35942600,0.0,0.0,2,2024-10-15 00:00:00-04:00,7207340032.0,155029885737.94922
7,2024-10-15 00:00:00-04:00,21.389999389648438,21.610000610351562,21.229999542236328,21.510000228881836,35942600,0.0,0.0,2,2024-10-15 00:00:00-04:00,7170240000.0,154231864041.1377
8,2024-10-16 00:00:00-04:00,21.520000457763672,21.760000228881836,21.479999542236328,21.709999084472656,23926900,0.0,0.0,2,,7170240000.0,155665903835.44922
9,2024-10-17 00:00:00-04:00,21.559999465942383,21.770000457763672,21.530000686645508,21.729999542236328,25471200,0.0,0.0,2,2024-10-17 00:00:00-04:00,7170240000.0,155809311917.7246
10,2024-10-18 00:00:00-04:00,21.729999542236328,22.059999465942383,21.6299991607666,21.850000381469727,27277400,0.0,0.0,2,2024-10-18 00:00:00-04:00,7176849920.0,156814173489.75098
11,2024-10-18 00:00:00-04:00,21.729999542236328,22.059999465942383,21.6299991607666,21.850000381469727,27277400,0.0,0.0,2,2024-10-18 00:00:00-04:00,7170240000.0,156669746735.2295
12,2024-10-21 00:00:00-04:00,21.8799991607666,21.969999313354492,21.649999618530273,21.65999984741211,29366200,0.0,0.0,2,,7170240000.0,155307397305.9082
13,2024-10-22 00:00:00-04:00,21.25,21.6200008392334,21.049999237060547,21.5,47781900,0.0,0.0,2,2024-10-22 00:00:00-04:00,7170240000.0,154160160000.0
14,2024-10-23 00:00:00-04:00,21.239999771118164,22.579999923706055,21.049999237060547,22.489999771118164,71932600,0.0,0.0,2,,7174000128.0,161343261236.72168
15,2024-10-24 00:00:00-04:00,22.399999618530273,22.479999542236328,22.059999465942383,22.200000762939453,38783100,0.0,0.0,2,2024-10-24 00:00:00-04:00,7174000128.0,159262808314.92773
16,2024-10-24 00:00:00-04:00,22.399999618530273,22.479999542236328,22.059999465942383,22.200000762939453,38783100,0.0,0.0,2,2024-10-24 00:00:00-04:00,7267709952.0,161343166479.22266
17,2024-10-25 00:00:00-04:00,22.299999237060547,22.40999984741211,21.809999465942383,21.829999923706055,26050400,0.0,0.0,2,,7297299968.0,159300057744.7002
18,2024-10-28 00:00:00-04:00,21.920000076293945,22.149999618530273,21.81999969482422,22.110000610351562,27923800,0.0,0.0,2,2024-10-28 00:00:00-04:00,7297299968.0,161343306746.39844
19,2024-10-29 00:00:00-04:00,21.989999771118164,22.360000610351562,21.920000076293945,22.18000030517578,32711100,0.0,0.0,2,2024-10-29 00:00:00-04:00,7174000128.0,159119325028.3711
20,2024-10-30 00:00:00-04:00,22.1299991607666,22.260000228881836,21.899999618530273,22.020000457763672,36264900,0.0,0.0,2,2024-10-30 00:00:00-04:00,7175289856.0,157999885913.70703
21,2024-10-31 00:00:00-04:00,22.059999465942383,22.600000381469727,22.030000686645508,22.540000915527344,59566700,0.0,0.0,2,2024-10-31 00:00:00-04:00,7227429888.0,162906276292.4297
22,2024-10-31 00:00:00-04:00,22.059999465942383,22.600000381469727,22.030000686645508,22.540000915527344,59566700,0.0,0.0,2,2024-10-31 00:00:00-04:00,7175289856.0,161731039923.41406
23,2024-11-01 00:00:00-04:00,22.530000686645508,22.729999542236328,22.06999969482422,22.1200008392334,37170000,0.0,0.0,2,2024-11-01 00:00:00-04:00,7175289856.0,158717417636.4629
24,2024-11-04 00:00:00-05:00,22.139999389648438,22.25,21.790000915527344,21.920000076293945,24318500,0.0,0.0,2,,7240759808.0,158717455543.78613
25,2024-11-05 00:00:00-05:00,21.899999618530273,22.170000076293945,21.829999923706055,22.049999237060547,26461800,0.0,0.0,2,2024-11-05 00:00:00-05:00,7240759808.0,159658748242.13867
26,2024-11-05 00:00:00-05:00,21.899999618530273,22.170000076293945,21.829999923706055,22.049999237060547,26461800,0.0,0.0,2,2024-11-05 00:00:00-05:00,7175289856.0,158215135850.48828
27,2024-11-06 00:00:00-05:00,22.110000610351562,22.389999389648438,21.969999313354492,22.31999969482422,32250100,0.0,0.0,2,2024-11-06 00:00:00-05:00,7175289856.0,160152467396.1953
0,2024-10-07 00:00:00-04:00,169.13999938964844,169.89999389648438,164.1300048828125,164.38999938964844,14034700,0.0,0.0,3,,12560900096.0,2064886359114.875
1,2024-10-08 00:00:00-04:00,165.42999267578125,166.10000610351562,164.30999755859375,165.6999969482422,11723900,0.0,0.0,3,2024-10-08 00:00:00-04:00,12560900096.0,2081341107574.375
2,2024-10-09 00:00:00-04:00,164.85499572753906,166.25999450683594,161.1199951171875,163.05999755859375,19666400,0.0,0.0,3,2024-10-09 00:00:00-04:00,12256000000.0,1998463330078.125
3,2024-10-10 00:00:00-04:00,162.11000061035156,164.31100463867188,161.63999938964844,163.17999267578125,12900500,0.0,0.0,3,2024-10-10 00:00:00-04:00,12260100096.0,2000603043869.625
4,2024-10-11 00:00:00-04:00,163.3300018310547,165.27000427246094,162.5,164.52000427246094,10946000,0.0,0.0,3,2024-10-11 00:00:00-04:00,12264699904.0,2017788480606.5312
5,2024-10-14 00:00:00-04:00,164.91000366210938,167.6199951171875,164.77999877929688,166.35000610351562,9981800,0.0,0.0,3,,12122800128.0,2016627875284.5
6,2024-10-15 00:00:00-04:00,167.13999938964844,169.08999633789062,166.0500030517578,166.89999389648438,14829300,0.0,0.0,3,2024-10-15 00:00:00-04:00,12122800128.0,2023295267371.5
7,2024-10-15 00:00:00-04:00,167.13999938964844,169.08999633789062,166.0500030517578,166.89999389648438,14829300,0.0,0.0,3,2024-10-15 00:00:00-04:00,12253400064.0,2045092395892.7812
8,2024-10-16 00:00:00-04:00,166.02999877929688,167.27999877929688,165.21600341796875,166.74000549316406,9968500,0.0,0.0,3,2024-10-16 00:00:00-04:00,12252600320.0,2042998644662.3438
9,2024-10-16 00:00:00-04:00,166.02999877929688,167.27999877929688,165.21600341796875,166.74000549316406,9968500,0.0,0.0,3,2024-10-16 00:00:00-04:00,12251199488.0,2042765069926.9688
10,2024-10-17 00:00:00-04:00,167.3800048828125,167.92999267578125,164.3699951171875,164.50999450683594,15113400,0.0,0.0,3,2024-10-17 00:00:00-04:00,12246299648.0,2014638687821.5469
11,2024-10-18 00:00:00-04:00,164.8699951171875,166.3699951171875,164.75,165.0500030517578,13091300,0.0,0.0,3,2024-10-18 00:00:00-04:00,12081600512.0,1994068201375.7188
12,2024-10-18 00:00:00-04:00,164.8699951171875,166.3699951171875,164.75,165.0500030517578,13091300,0.0,0.0,3,2024-10-18 00:00:00-04:00,12245399552.0,2021103233427.5938
13,2024-10-21 00:00:00-04:00,164.5800018310547,166.22000122070312,164.30499267578125,165.8000030517578,11384000,0.0,0.0,3,,12239800320.0,2029358930408.9062
14,2024-10-22 00:00:00-04:00,164.6999969482422,167.47000122070312,164.6699981689453,166.82000732421875,11958600,0.0,0.0,3,2024-10-22 00:00:00-04:00,12239800320.0,2041843579029.375
15,2024-10-23 00:00:00-04:00,166.42999267578125,167.60000610351562,163.63299560546875,164.47999572753906,12754300,0.0,0.0,3,2024-10-23 00:00:00-04:00,12242299904.0,2013613435905.1719
16,2024-10-24 00:00:00-04:00,164.58999633789062,165.0500030517578,162.77000427246094,164.52999877929688,12764400,0.0,0.0,3,2024-10-24 00:00:00-04:00,12236800000.0,2013320689062.5
17,2024-10-24 00:00:00-04:00,164.58999633789062,165.0500030517578,162.77000427246094,164.52999877929688,12764400,0.0,0.0,3,2024-10-24 00:00:00-04:00,12240499712.0,2013929402673.3438
18,2024-10-25 00:00:00-04:00,165.36500549316406,167.39999389648438,165.22999572753906,166.99000549316406,14566400,0.0,0.0,3,,11959799808.0,1997167035635.0625
19,2024-10-28 00:00:00-04:00,170.58999633789062,170.6060028076172,165.7899932861328,168.33999633789062,20858300,0.0,0.0,3,2024-10-28 00:00:00-04:00,11959799808.0,2013312655880.625
20,2024-10-29 00:00:00-04:00,169.38499450683594,171.86000061035156,168.66000366210938,171.13999938964844,28916100,0.0,0.0,3,2024-10-29 00:00:00-04:00,12245300224.0,2095660672861.4219
21,2024-10-30 00:00:00-04:00,182.41000366210938,183.7899932861328,175.7449951171875,176.13999938964844,49698300,0.0,0.0,3,2024-10-30 00:00:00-04:00,12044900352.0,2121588740649.6562
22,2024-10-30 00:00:00-04:00,182.41000366210938,183.7899932861328,175.7449951171875,176.13999938964844,49698300,0.0,0.0,3,2024-10-30 00:00:00-04:00,12252600320.0,2158173012886.4062
23,2024-10-31 00:00:00-04:00,174.72000122070312,178.4199981689453,172.55999755859375,172.69000244140625,32801900,0.0,0.0,3,2024-10-31 00:00:00-04:00,11898099712.0,2054682868313.375
24,2024-10-31 00:00:00-04:00,174.72000122070312,178.4199981689453,172.55999755859375,172.69000244140625,32801900,0.0,0.0,3,2024-10-31 00:00:00-04:00,12175500288.0,2102587174460.0625
25,2024-11-01 00:00:00-04:00,171.5399932861328,173.82000732421875,170.30999755859375,172.64999389648438,21752900,0.0,0.0,3,2024-11-01 00:00:00-04:00,12176100352.0,2102203651455.7812
26,2024-11-04 00:00:00-05:00,171.24000549316406,171.9199981689453,169.48500061035156,170.67999267578125,16194000,0.0,0.0,3,,12184000512.0,2079565118149.875
27,2024-11-05 00:00:00-05:00,170.8300018310547,172.0970001220703,170.3699951171875,171.41000366210938,12518300,0.0,0.0,3,2024-11-05 00:00:00-05:00,12184000512.0,2088459572381.0625
28,2024-11-05 00:00:00-05:00,170.8300018310547,172.0970001220703,170.3699951171875,171.41000366210938,12518300,0.0,0.0,3,2024-11-05 00:00:00-05:00,12327400448.0,2113039755935.9688
29,2024-11-06 00:00:00-05:00,175.35000610351562,178.63999938964844,175.0399932861328,178.3300018310547,27035500,0.0,0.0,3,2024-11-06 00:00:00-05:00,12133600256.0,2163784955869.7656
30,2024-11-06 00:00:00-05:00,175.35000610351562,178.63999938964844,175.0399932861328,178.3300018310547,27035500,0.0,0.0,3,2024-11-06 00:00:00-05:00,12175699968.0,2171292597587.8125
0,2024-10-07 00:00:00-04:00,50.099998474121094,50.13999938964844,49.689998626708984,49.91999816894531,6276400,0.0,0.0,4,,1706220032.0,85174500873.25781
1,2024-10-08 00:00:00-04:00,49.97999954223633,50.150001525878906,49.459999084472656,49.54999923706055,5272000,0.0,0.0,4,,1706220032.0,84543201283.85742
2,2024-10-09 00:00:00-04:00,49.65999984741211,50.34000015258789,49.61000061035156,50.22999954223633,7375700,0.0,0.0,4,2024-10-09 00:00:00-04:00,1706220032.0,85703431426.31445
3,2024-10-10 00:00:00-04:00,50.4900016784668,50.75,49.56999969482422,49.68000030517578,8847900,0.0,0.0,4,,1706220032.0,84765011710.45703
4,2024-10-11 00:00:00-04:00,49.900001525878906,49.9900016784668,49.560001373291016,49.84000015258789,4542800,0.0,0.0,4,,1706220032.0,85038006655.22852
5,2024-10-14 00:00:00-04:00,49.75,49.88999938964844,49.33000183105469,49.86000061035156,5696300,0.0,0.0,4,,1706220032.0,85072131836.91406
6,2024-10-15 00:00:00-04:00,50.0,50.34000015258789,49.72999954223633,49.900001525878906,5140800,0.0,0.0,4,2024-10-15 00:00:00-04:00,1706220032.0,85140382200.28516
7,2024-10-16 00:00:00-04:00,49.970001220703125,50.380001068115234,49.869998931884766,50.15999984741211,4928700,0.0,0.0,4,,1706220032.0,85583996544.77148
8,2024-10-17 00:00:00-04:00,50.08000183105469,50.310001373291016,49.68000030517578,49.7400016784668,6263900,0.0,0.0,4,,1706220032.0,84867387255.51367
9,2024-10-18 00:00:00-04:00,49.68000030517578,49.720001220703125,48.86000061035156,49.61000061035156,7148400,0.0,0.0,4,2024-10-18 00:00:00-04:00,1706220032.0,84645576828.91406
10,2024-10-21 00:00:00-04:00,49.619998931884766,49.689998626708984,48.97999954223633,49.060001373291016,5011500,0.0,0.0,4,,1706220032.0,83707157113.05664
11,2024-10-22 00:00:00-04:00,49.439998626708984,50.119998931884766,49.15999984741211,50.060001373291016,6087300,0.0,0.0,4,2024-10-22 00:00:00-04:00,1706220032.0,85413377145.05664
12,2024-10-23 00:00:00-04:00,50.0,50.04999923706055,49.599998474121094,49.79999923706055,5520300,0.0,0.0,4,,1706220032.0,84969756291.85742
13,2024-10-24 00:00:00-04:00,49.88999938964844,50.15999984741211,49.68000030517578,49.939998626708984,4282100,0.0,0.0,4,2024-10-24 00:00:00-04:00,1706220032.0,85208626054.94336
14,2024-10-25 00:00:00-04:00,49.9900016784668,50.11000061035156,49.59000015258789,49.709999084472656,5325500,0.0,0.0,4,,1706220032.0,84816196228.6289
15,2024-10-28 00:00:00-04:00,49.75,50.380001068115234,49.72999954223633,50.25,6314700,0.0,0.0,4,2024-10-28 00:00:00-04:00,1706220032.0,85737556608.0
16,2024-10-29 00:00:00-04:00,50.02000045776367,50.43000030517578,49.95000076293945,49.95000076293945,8017300,0.0,0.0,4,,1716470016.0,85737678608.7627
17,2024-10-30 00:00:00-04:00,49.900001525878906,50.66999816894531,49.880001068115234,50.5,11067500,0.0,0.0,4,2024-10-30 00:00:00-04:00,1716470016.0,86681735808.0
18,2024-10-30 00:00:00-04:00,49.900001525878906,50.66999816894531,49.880001068115234,50.5,11067500,0.0,0.0,4,2024-10-30 00:00:00-04:00,1706220032.0,86164111616.0
19,2024-10-31 00:00:00-04:00,51.380001068115234,54.84000015258789,51.34000015258789,54.459999084472656,25560600,0.0,0.0,4,2024-10-31 00:00:00-04:00,1706220032.0,92920741380.6289
20,2024-11-01 00:00:00-04:00,54.459999084472656,54.599998474121094,53.7400016784668,53.869998931884766,10986200,0.0,0.0,4,,1694809984.0,91299412027.82764
21,2024-11-04 00:00:00-05:00,53.93000030517578,54.04999923706055,53.56999969482422,53.880001068115234,7831900,0.0,0.0,4,,1694809984.0,91316363748.17236
22,2024-11-05 00:00:00-05:00,53.79999923706055,54.29999923706055,53.59000015258789,54.189998626708984,5864100,0.0,0.0,4,,1694809984.0,91841750705.49268
23,2024-11-06 00:00:00-05:00,54.58000183105469,55.04999923706055,54.08000183105469,54.290000915527344,8942500,0.0,0.0,4,2024-11-06 00:00:00-05:00,1694809984.0,92011235583.00488
